date,open,high,low,close,volume
2015-08-13,8776.435,8877.053,8638.761,8875.126,1776338400
2015-08-14,8921.308,9007.661,8871.956,8941.67,1891511400
2015-08-17,8884.087,9117.461,8859.678,9077.005,1986586400
2015-08-18,9057.063,9079.896,8451.71,8492.127,2155012400
2015-08-19,8289.852,8694.272,8173.511,8640.293,2041306600
2015-08-20,8560.301,8607.482,8368.596,8370.956,1695702400
2015-08-21,8267.164,8355.069,7985.668,8010.907,1634838900
2015-08-24,7705.258,7719.704,7337.922,7344.012,1349648300
2015-08-25,6921.273,7255.302,6896.496,6962.111,1615903500
2015-08-26,7018.912,7311.991,6849.596,7001.803,1958420600
2015-08-27,7148.345,7355.201,6999.48,7351.788,1608113600
2015-08-28,7417.201,7645.407,7310.606,7615.17,1810805200
2015-08-31,7511.0,7517.334,7318.217,7480.157,1380830800
2015-09-01,7366.602,7367.855,7100.092,7309.299,1383131400
2015-09-02,7026.163,7360.461,7020.857,7286.161,1611944600
2015-09-07,7257.94,7457.886,7065.01,7101.366,1269408300
2015-09-08,7025.851,7261.962,6921.623,7237.633,1067712300
2015-09-09,7238.047,7423.555,7216.881,7354.921,1880662800
2015-09-10,7239.829,7350.029,7206.048,7249.813,1350904800
2015-09-11,7213.084,7278.073,7121.696,7213.123,1188221800
2015-09-14,7237.833,7276.852,6887.936,7023.787,1700081400
2015-09-15,6882.604,6957.193,6706.96,6768.203,1132778700
2015-09-16,6770.505,7238.407,6736.288,7144.76,1303444500
2015-09-17,7088.124,7193.693,6924.351,6928.143,1428701300
2015-09-18,6968.508,7017.227,6900.159,6974.721,847367300
2015-09-21,6918.644,7136.223,6892.392,7126.49,1114131900
2015-09-22,7144.238,7228.502,7114.4,7174.777,1321607100
2015-09-23,7085.11,7136.616,7025.47,7056.576,1113723400
2015-09-24,7074.414,7113.125,7029.674,7094.653,883942600
2015-09-25,7085.448,7135.176,6923.644,6966.873,937583700
2015-09-28,6954.209,7003.903,6863.369,7003.614,678573200
2015-09-29,6912.566,6979.883,6898.634,6924.865,810722600
2015-09-30,6948.414,6973.682,6912.076,6934.352,669721300
2015-10-08,7161.694,7231.074,7134.289,7180.623,1326754300
2015-10-09,7174.43,7249.457,7148.95,7222.958,1109140700
2015-10-12,7255.973,7547.517,7254.661,7422.323,1967046600
2015-10-13,7386.294,7482.501,7360.7,7469.617,1428340300
2015-10-14,7460.165,7491.407,7372.291,7380.415,1423838500
2015-10-15,7365.623,7568.871,7363.717,7568.15,1668548800
2015-10-16,7624.948,7679.763,7539.515,7671.995,1935292200
2015-10-19,7693.289,7710.818,7574.654,7642.906,1768858000
2015-10-20,7623.293,7690.433,7563.165,7689.648,1629343600
2015-10-21,7701.445,7734.382,7313.25,7363.126,2037441600
2015-10-22,7356.346,7581.981,7352.394,7571.974,1565000000
2015-10-23,7617.105,7756.445,7600.363,7724.493,1782045200
2015-10-26,7784.519,7815.606,7672.485,7771.12,1654480900
2015-10-27,7729.487,7767.285,7525.809,7741.101,1477663300
2015-10-28,7704.18,7763.027,7585.03,7607.194,1223449800
2015-10-29,7650.11,7743.131,7621.429,7685.739,1131040300
2015-10-30,7725.236,7772.941,7644.739,7694.288,1403269400
